precio,descuento,stock,mes,categoria,demanda
40.581311290499436,0.05553987865158589,229,8,0,91.88180732034675
95.31785910894203,0.16257028421350744,400,9,0,32.02750763231182
74.53942447208348,0.2618837507629225,172,3,0,61.49082432617731
61.872555998718475,0.21966746592286834,448,3,0,91.1076135040533
19.82177084203147,0.2419683443584349,229,2,1,161.05041435554554
19.81947943193925,0.1976350100132152,279,8,0,149.0933870074113
10.517943155978948,0.20768296935535574,129,10,1,149.70922501872727
87.28673384861884,0.2547586954695958,403,1,2,44.89222821221681
62.10592611560484,0.07490040265775579,345,8,2,80.50285859731373
72.26689489062431,0.14682748909294213,409,7,0,60.32095053488405
6.955526958101233,0.06636283254588067,191,7,2,154.23316198552126
97.14143595538945,0.2963004023989941,488,3,2,48.37700545591396
84.08205087604007,0.28321780190598395,115,1,2,41.6232915535246
25.172215514436235,0.01182804341055177,226,4,0,117.83021445822182
22.27337188467456,0.21167255175470653,214,9,0,116.02060128737443
22.42342843607621,0.27757449522469974,79,5,2,145.63194937132457
33.90301308115608,0.05417260353820006,53,1,1,108.5371144576287
54.851861005062595,0.17038356916578884,338,5,2,97.41755976654339
46.034776771001,0.27464648927641255,310,8,0,94.56663594954614
32.66676831881398,0.010183793575739652,237,8,0,127.15742419796658
63.12602499862605,0.20922608017405198,193,5,0,70.77009784458274
18.251916761943974,0.08920470221176523,116,12,2,129.99440694067744
32.75374161084572,0.27731885861295913,93,9,1,108.69246196019114
39.804375112900715,0.2913174735496103,347,1,0,104.33985369473096
48.32664850061841,0.2832799467340302,259,4,0,116.19748770300956
79.59171633233629,0.14226426499723913,372,3,2,69.19161244533376
23.969009305044175,0.25861279529679404,450,2,1,147.82184429374016
53.8522716492931,0.2533648195605211,30,8,2,76.59598780602289
61.27938404189403,0.09573014197297669,205,7,0,69.3469893444652
9.412789208399783,0.2486746422452032,187,9,1,154.16839839930498
62.716760930636646,0.011102290414647786,426,2,1,65.78137590298144
21.199791750292697,0.1788809635446159,484,4,0,148.42180839735335
11.179901333601554,0.06900265118631091,16,6,1,139.01130048825647
95.14412603906666,0.03617006573318364,79,11,1,23.22388670454672
96.73504314208314,0.023085960488762745,136,3,2,12.994174951450551
81.79774807106381,0.2088866327634419,408,8,0,42.38419244258202
33.93830807147022,0.10196248913041984,475,3,0,131.47614098130242
14.278850830606467,0.21743003145862844,169,12,0,145.34391971032414
70.0021375186549,0.01960690223968271,257,2,0,72.53123577384045
46.81448690526212,0.09458710134918309,212,3,0,109.40220273000605
16.593632310253987,0.16184738771260115,157,11,1,155.69646404292206
52.04180646057067,0.23721694945168906,481,6,2,102.23225842799566
8.266909505945748,0.09562575087962097,152,2,0,169.879474018438
91.38543819748429,0.18776741293110272,441,8,2,47.869638399285776
29.584098252001606,0.26579332447085613,208,1,2,145.57732290222674
67.9396170136283,0.18475895645469137,414,7,1,73.00232616397453
34.61255222849404,0.06988784242609013,435,2,0,120.33959640246718
54.406462011892025,0.007320234466961405,163,10,1,79.64659223223089
56.937476537611566,0.26102966217027895,385,12,0,98.414044398236
22.561173274925068,0.006380823255116142,393,6,1,148.6754006850599
97.11053963763307,0.2624105018052598,151,12,2,22.68342244832884
78.63761821930588,0.1586811402081636,322,2,0,67.72377958455293
94.25239944859797,0.28172030955386884,174,2,2,38.72976137612304
90.00859829062664,0.2396349707320996,323,10,2,40.98492891459355
61.80049798705309,0.29938023316000123,30,8,1,80.31503085224355
92.5780523271961,0.10521354463551304,91,12,0,16.210948272651024
13.406787694932353,0.23015648667933805,78,2,2,168.7997007916256
23.618371929818792,0.12057927408277264,140,7,1,100.95808259866598
9.296592446501116,0.14396268609117266,96,3,0,154.78267767975737
35.90638142251011,0.18825163896551103,227,8,0,99.2570507217399
41.924342520500794,0.2621031342559016,430,7,2,119.46207589986321
30.778158018520113,0.2952250407597885,481,8,0,141.7879341154968
83.73006336943328,0.23048202415935545,314,7,2,66.70534174295469
38.89156603589098,0.12533003465020012,412,11,0,111.60763055790464
31.688778420301173,0.12640710068312105,380,6,1,140.86730656032208
56.5561279000336,0.22127469047666745,354,7,2,82.14137627153501
18.387801372602453,0.07163314373049069,350,5,2,156.96665236516952
81.20871317163378,0.0331422339394184,393,7,0,44.75058752048553
12.082311149578228,0.10638664729223296,405,1,0,158.1802108326555
98.75425897704915,0.08617169749622451,454,1,2,25.51340977813348
78.36325308318246,0.08889243613679702,434,9,0,71.42337692322221
23.87798974574638,0.07008232531497298,170,5,1,137.06453007946655
5.524601126742228,0.012627956890908565,187,5,0,156.12951336027731
82.46883570320925,0.0053621804200241424,126,3,1,21.346171620319595
72.15144766552362,0.29631671692080946,205,5,1,59.68844566745261
74.2556809638938,0.1283319401207587,392,3,1,54.34731030513598
78.27068293516484,0.1152979941479045,499,9,1,40.82744643672633
12.034241914738583,0.20389418480792096,336,9,1,171.55652738678864
39.0542442117059,0.06547616635951925,95,6,0,96.16420673699015
16.00756065488732,0.2849883551850676,298,1,1,151.75313713399945
86.99482545818138,0.2359035043246656,90,7,0,50.7639593632168
64.21332204861801,0.026823300693677853,161,7,1,58.3112959378932
36.43531236100167,0.1252742327354785,70,10,2,96.7060337384121
11.038043277172246,0.2637354922686494,70,10,1,147.88225349252426
34.54332056298791,0.28341960668742305,363,4,2,119.17930897112032
35.89241559254097,0.14022045337496092,37,8,1,108.46595697281614
